video_id,cosine_distance,,1が大量発生・・・・
1656,0.942329873,,
1744,0.942329873,,
1777,0.942329873,,
1986,0.942329873,,
2008,0.942329873,,
2073,0.942329873,,
2125,0.942329873,,
2147,0.942318784,,
921,0.941956562,,
180,0.923106498,,
199,0.923106498,,
304,0.923106498,,
310,0.923106498,,
404,0.923106498,,
545,0.923106498,,
612,0.923106498,,
648,0.923106498,,
976,0.923106498,,
1040,0.923106498,,
1322,0.923106498,,
1341,0.923106498,,
1439,0.923106498,,
1634,0.923106498,,
1732,0.923106498,,
1841,0.923106498,,
2023,0.923106498,,
2086,0.923106498,,
5,0.807766244,,
31,0.807766244,,
41,0.807766244,,
56,0.807766244,,
66,0.807766244,,
79,0.807766244,,
96,0.807766244,,
109,0.807766244,,
120,0.807766244,,
129,0.807766244,,
136,0.807766244,,
160,0.807766244,,
163,0.807766244,,
176,0.807766244,,
179,0.807766244,,
205,0.807766244,,
262,0.807766244,,
278,0.807766244,,
282,0.807766244,,
311,0.807766244,,
317,0.807766244,,
329,0.807766244,,
332,0.807766244,,
338,0.807766244,,
377,0.807766244,,
380,0.807766244,,
388,0.807766244,,
414,0.807766244,,
431,0.807766244,,
467,0.807766244,,
485,0.807766244,,
507,0.807766244,,
521,0.807766244,,
528,0.807766244,,
549,0.807766244,,
586,0.807766244,,
610,0.807766244,,
653,0.807766244,,
662,0.807766244,,
663,0.807766244,,
668,0.807766244,,
691,0.807766244,,
699,0.807766244,,
719,0.807766244,,
720,0.807766244,,
725,0.807766244,,
748,0.807766244,,
763,0.807766244,,
796,0.807766244,,
823,0.807766244,,
825,0.807766244,,
832,0.807766244,,
834,0.807766244,,
845,0.807766244,,
865,0.807766244,,
893,0.807766244,,
953,0.807766244,,
983,0.807766244,,
998,0.807766244,,
1035,0.807766244,,
1091,0.807766244,,
1107,0.807766244,,
1126,0.807766244,,
1135,0.807766244,,
1150,0.807766244,,
1171,0.807766244,,
1191,0.807766244,,
1243,0.807766244,,
1255,0.807766244,,
1268,0.807766244,,
1310,0.807766244,,
1359,0.807766244,,
1392,0.807766244,,
1405,0.807766244,,
1467,0.807766244,,
1487,0.807766244,,
1523,0.807766244,,
1528,0.807766244,,
1541,0.807766244,,
1553,0.807766244,,
1558,0.807766244,,
1596,0.807766244,,
1635,0.807766244,,
1644,0.807766244,,
1682,0.807766244,,
1686,0.807766244,,
1697,0.807766244,,
1722,0.807766244,,
1736,0.807766244,,
1737,0.807766244,,
1780,0.807766244,,
1791,0.807766244,,
1793,0.807766244,,
1816,0.807766244,,
1821,0.807766244,,
1831,0.807766244,,
1846,0.807766244,,
1859,0.807766244,,
1873,0.807766244,,
1883,0.807766244,,
1929,0.807766244,,
1938,0.807766244,,
2018,0.807766244,,
2030,0.807766244,,
2037,0.807766244,,
2042,0.807766244,,
2043,0.807766244,,
2044,0.807766244,,
2067,0.807766244,,
2068,0.807766244,,
2070,0.807766244,,
2096,0.807766244,,
2106,0.807766244,,
2142,0.807766244,,
2162,0.807766244,,
240,0.807729279,,
679,0.807729279,,
801,0.807729279,,
38,0.807381776,,
175,0.807381776,,
220,0.807381776,,
233,0.807381776,,
246,0.807381776,,
298,0.807381776,,
313,0.807381776,,
