,,,video_id,cosine_distance
824,0.038831219,,,
869,0.038831219,,,
900,0.038831219,,,
916,0.038831219,,,
917,0.038831219,,,
936,0.038831219,,,
947,0.038831219,,,
1040,0.038831219,,,
1044,0.038831219,,,
1056,0.038831219,,,
1059,0.038831219,,,
1068,0.038831219,,,
1082,0.038831219,,,
1104,0.038831219,,,
1145,0.038831219,,,
1177,0.038831219,,,
1190,0.038831219,,,
1196,0.038831219,,,
1228,0.038831219,,,
1235,0.038831219,,,
1246,0.038831219,,,
1249,0.038831219,,,
1252,0.038831219,,,
1256,0.038831219,,,
1267,0.038831219,,,
1282,0.038831219,,,
1291,0.038831219,,,
1303,0.038831219,,,
1322,0.038831219,,,
1323,0.038831219,,,
1349,0.038831219,,,
1352,0.038831219,,,
1361,0.038831219,,,
1390,0.038831219,,,
1392,0.038831219,,,
1401,0.038831219,,,
1420,0.038831219,,,
1459,0.038831219,,,
1486,0.038831219,,,
1499,0.038831219,,,
1503,0.038831219,,,
1511,0.038831219,,,
1524,0.038831219,,,
1541,0.038831219,,,
1580,0.038831219,,,
1582,0.038831219,,,
1594,0.038831219,,,
1596,0.038831219,,,
1609,0.038831219,,,
1633,0.038831219,,,
1636,0.038831219,,,
1655,0.038831219,,,
1663,0.038831219,,,
1664,0.038831219,,,
1765,0.038831219,,,
1778,0.038831219,,,
1813,0.038831219,,,
1817,0.038831219,,,
1819,0.038831219,,,
1838,0.038831219,,,
1865,0.038831219,,,
1882,0.038831219,,,
1928,0.038831219,,,
1930,0.038831219,,,
1949,0.038831219,,,
1953,0.038831219,,,
1975,0.038831219,,,
2001,0.038831219,,,
2011,0.038831219,,,
2018,0.038831219,,,
2021,0.038831219,,,
2032,0.038831219,,,
2034,0.038831219,,,
2072,0.038831219,,,
2125,0.038831219,,,
2146,0.038831219,,,
2156,0.038831219,,,
445,0.038646396,,,
480,0.038646396,,,
597,0.038646396,,,
816,0.038646396,,,
1034,0.038646396,,,
1180,0.038646396,,,
1320,0.038646396,,,
1858,0.038646396,,,
1866,0.038646396,,,
1931,0.038646396,,,
2178,0.038646396,,,
7,0.038446751,,,
16,0.038446751,,,
35,0.038446751,,,
84,0.038446751,,,
92,0.038446751,,,
96,0.038446751,,,
172,0.038446751,,,
173,0.038446751,,,
179,0.038446751,,,
181,0.038446751,,,
201,0.038446751,,,
205,0.038446751,,,
249,0.038446751,,,
293,0.038446751,,,
369,0.038446751,,,
370,0.038446751,,,
379,0.038446751,,,
386,0.038446751,,,
400,0.038446751,,,
407,0.038446751,,,
410,0.038446751,,,
426,0.038446751,,,
446,0.038446751,,,
487,0.038446751,,,
495,0.038446751,,,
525,0.038446751,,,
550,0.038446751,,,
553,0.038446751,,,
554,0.038446751,,,
572,0.038446751,,,
600,0.038446751,,,
622,0.038446751,,,
676,0.038446751,,,
716,0.038446751,,,
758,0.038446751,,,
874,0.038446751,,,
886,0.038446751,,,
924,0.038446751,,,
1009,0.038446751,,,
1166,0.038446751,,,
1199,0.038446751,,,
1238,0.038446751,,,
1251,0.038446751,,,
1269,0.038446751,,,
1275,0.038446751,,,
1281,0.038446751,,,
1295,0.038446751,,,
1363,0.038446751,,,
1364,0.038446751,,,
1425,0.038446751,,,
1431,0.038446751,,,
1537,0.038446751,,,
1559,0.038446751,,,
1568,0.038446751,,,
1608,0.038446751,,,
1623,0.038446751,,,
1624,0.038446751,,,
1647,0.038446751,,,
1653,0.038446751,,,
1658,0.038446751,,,
1691,0.038446751,,,
1717,0.038446751,,,
1729,0.038446751,,,
1754,0.038446751,,,
1814,0.038446751,,,
1815,0.038446751,,,
1833,0.038446751,,,
1851,0.038446751,,,
1852,0.038446751,,,
1876,0.038446751,,,
1978,0.038446751,,,
1992,0.038446751,,,
1998,0.038446751,,,
2010,0.038446751,,,
2080,0.038446751,,,
2113,0.038446751,,,
5,0.034986544,,,
28,0.034986544,,,
32,0.034986544,,,
38,0.034986544,,,
50,0.034986544,,,
60,0.034986544,,,
72,0.034986544,,,
83,0.034986544,,,
86,0.034986544,,,
88,0.034986544,,,
89,0.034986544,,,
104,0.034986544,,,
107,0.034986544,,,
121,0.034986544,,,
144,0.034986544,,,
145,0.034986544,,,
146,0.034986544,,,
151,0.034986544,,,
167,0.034986544,,,
