,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
69,-79.05245281907008,-1711.834629730089,-1586.9804530231843,-1524.263705110542,-2049.3952904423736,-25.44166786945041,1028.697495284414,-1870.4639335785766,752.6763548149676,481.091645647462,-2152.6236534870864,-1545.3397035459097,656.173766001476,-353.2939816363795,-41.45138182815713,-882.2091387239351,1050.428523189655
70,-12.474079695679197,-777.0208554368253,-654.9235140071863,-633.7163293995238,-954.0729830782699,-32.83399161626423,385.0748435830692,-850.0819549386504,315.8480161152659,137.07570865773454,-849.6933075130696,-678.4372249233268,242.15794729270607,-200.8684937634499,-18.072512893969886,-338.0857207702612,472.77141848815916
71,-80.57709025649588,-1722.526946185568,-1489.9336842892053,-1426.5713211722818,-1842.1659182171873,-52.23502378821907,954.9624174522081,-1837.2089037582862,687.4412203160475,438.76599904747513,-2134.2877557305474,-1485.6893855640697,603.3315503696415,-368.14699308228376,-40.48189878755167,-808.6086459054659,1027.889450972727
72,-69.84431713269575,-1602.0355456006444,-1402.992113080667,-1346.089163540806,-1941.2837492038468,-29.762158366828384,917.7412214297656,-1688.2248577053192,662.659252333544,434.6693396272322,-1916.706427732405,-1384.8047389610933,584.5187877526942,-320.4779497687121,-45.041602672776214,-764.8827369973388,949.4946142758337
73,31.612287727112587,-988.1436028974498,-847.1661029385067,-823.8245056970285,-1070.5710685895604,-15.905676992380213,540.6305263298931,-1028.8798302995842,546.4145336776633,242.7690380262685,-1145.474494390252,-843.8060566496991,345.25706650962195,-211.96387295058747,13.83480207483715,-455.2119067207014,583.6193870631506
74,-71.75181329159751,-1584.4360786685602,-1351.2441433035574,-1299.884261161191,-1869.89773100648,-26.051604014589763,884.1895547997764,-1616.4314852500306,640.3035536154979,421.2849349958272,-1848.2173854063321,-1341.4197238481704,563.1903848988312,-314.11575053708845,-43.61759569154376,-732.7704961130664,919.9572202189954
75,-21.939472038653847,-544.0742274862534,-302.8193299063644,-459.3600030143441,-598.5051365655191,-10.94909764272236,316.204937443148,-571.5168084248294,222.3891557119288,137.75414686218232,-646.6286811222179,-511.1169851012598,207.28388807754675,-89.27592018467858,-7.373118974481394,-263.40240170819214,323.6947898033825
76,-73.12461271339679,-1337.8954697146996,-1067.040277642753,-1038.881599521881,-1337.5046401392428,-5.9002175845964,683.2775338735157,-1173.3889219978582,513.037095878699,324.9881706432204,-1446.7663109784642,-1076.0909822205704,437.3210068544199,-269.69790924481896,-26.626794367927843,-573.8186261118262,726.7668331190391
77,-16.11364654591565,-473.68530730536963,-257.250810660657,-411.9201449215062,-533.061225730403,-15.812443776795982,262.484483186002,-514.4440462133439,199.220315464154,134.2038846364425,-572.4411497288626,-461.6805875425796,151.47478961013906,-113.87445628948132,-19.618934105046964,-237.24604608933745,293.79843541230565
78,-33.954824013510006,-1003.822033750649,-871.4809998109633,-1049.9199051549008,-1103.0902978201234,-22.09367809237564,564.1094664173113,-1097.568723764583,406.4439302386117,259.992101568284,-1164.6802185745948,-877.718152404063,315.71443909693375,-218.54805824542458,-32.83319838870653,-475.6286935653577,597.9296173593794
79,-80.1989857065142,-1667.3551070180345,-1405.1850661989313,-1348.331837114796,-1731.4337463800794,-48.98391826278407,898.1780970565728,-1729.3876490065602,648.204114585236,414.82220185551665,-2019.8274611350332,-1410.3185069485744,567.3276027029752,-355.1692971870324,-35.41562292272569,-757.6930121628162,977.1337121933057
80,-59.2116852148011,-1374.1436496001534,-1189.819582353089,-1136.493909293468,-1657.1513986056332,-29.466592844535633,776.0288225904751,-1433.9958936249188,557.2927111550126,372.1149965875641,-1620.5333119436882,-1126.6052753410822,492.0105594246808,-273.10329563493616,-39.39255098117135,-640.0219727907959,811.9940208146112
