,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
24,-1152.291859010101,773.3733780103954,-160.96627325132627,71.78420847962857,-123.1404281388962,-152.55396840311116,420.7588878194717,-284.4961950480428,156.09671430586218,124.01334837198563,704.986538429314,-117.51436139197276,-25.736607419715426,-462.57849260659395,-712.5750535430849,-205.29101530965494,-352.0248015049218
25,-929.0800034868926,736.5559136417387,-158.33033480809107,24.30286421162097,-84.61955136883934,-161.1749392127468,381.07972172803306,-275.1723761526766,-3.278995989334384,115.25882011211274,695.7720861401536,-109.44485020933888,-29.52394492592782,-522.1703804061265,-666.8354430472269,-198.77598192772814,-295.3199586453107
26,-1825.7234853819623,1181.0550121669505,-268.2438978458976,137.68104890856713,-164.78660980915512,-271.5167016914993,647.01913118251,-456.4612768708402,24.43472164141271,185.32503011353697,848.1939605721914,-151.06045983670728,-56.02546412721961,-798.9519394614586,-1175.3668953536405,-344.9417585509551,-499.53689661960595
27,-467.9739286348504,302.3759028221001,-50.21400960059738,34.893254975759774,-22.70517811939979,55.102942744148436,170.90428625116266,-114.08272678260217,36.48392581990585,42.736259333847066,275.26855357606075,36.887591377159644,-35.904966924231594,-252.3742927419865,-266.73323123519873,-84.18810210449954,-151.144376530116
28,-1349.3641624352872,901.6526072222359,-183.4448003487387,59.51997405234027,-143.92752037708706,-184.91746893590647,492.01147811736655,-333.1067349929709,154.11896381492966,140.977003836849,822.237193761304,-134.08190812247463,-34.73883476813121,-589.3979817522365,-853.5843149843241,-246.946800492319,-415.29373925946874
29,-1860.9532661673722,1203.0530342755708,-244.76719446540307,147.59121627375873,-164.41898156077843,-274.742189844664,662.9315836595482,-459.4320170804818,21.87042693684007,183.7047632565397,868.6506525996874,-161.22402759575598,-68.74789644725061,-812.2628136202655,-1190.9466182365268,-308.6055913891616,-518.8209149344589
30,-1123.5257818459975,574.6503458660308,-125.51655057796324,53.137931792948066,-92.19603398288459,-171.27757437364227,392.51504553784724,-271.27317342278315,4.274660910842854,115.83755882790781,661.1819206292722,-91.53046914004806,-52.95620861581887,-455.4975609393222,-767.5327228872538,-203.17769178119573,-297.1690246363135
31,-916.3485224593512,725.7155725978212,-158.3887806396464,23.31034758618891,-80.6395391680976,-159.26161712470082,377.18695502442455,-272.2119284528841,-1.7129649163027716,114.01297428201252,687.8176804373326,-108.52362174976301,-30.093546347328864,-516.3921972331746,-658.8239282423817,-195.3601461937606,-291.5348570842327
32,-1653.348474136864,1182.2031607637762,-133.44852105611534,113.18616185639084,-150.24230954883663,-250.271654163276,555.8317042991032,-395.1113673760289,5.881812704187885,158.5349477920998,937.6303353843517,-116.34268890265392,-30.812947114581426,-740.8883047627435,-1048.789332353065,-349.8502579594199,-460.318016427011
33,-1981.9712461590607,1302.8804704275005,-234.36353406206402,-16.844533808300124,-170.48346115083632,-300.0333266011004,685.5681212758482,-483.3310626826402,-0.5748309804128832,190.35441060589247,1199.1814368717105,-177.36974645575052,-76.19374555238748,-853.237018429735,-1290.0727802958295,-374.7001843944743,-581.1201849875639
34,-1810.8043109951961,1172.5517906576952,-230.3058591565149,-35.52067871422872,-155.74892081518422,-274.547471496509,662.4334083414809,-446.28078802724383,-1.2097727992833245,160.70946003028212,1094.8462671726209,-174.5121124457658,-71.86885552376712,-777.148203397244,-1180.0481111857903,-341.9344731398565,-544.666701763754
35,-1353.9693356552316,910.9260353335593,-292.0708897223786,60.389647878873824,-130.7454981756529,-211.6915134992914,467.0626384876597,-359.8085260351253,18.09524181145045,169.01752794326887,785.709921314979,-70.03464313096565,-46.467833472564344,-609.1274854361452,-891.2638142995735,-274.4162511879053,-377.5682464207222
36,-1517.7656689850676,997.2794896513285,-366.255751385945,145.31145439129915,-130.61480813760733,-222.67078062724906,539.1555648099528,-326.691923452479,12.512693199688218,131.1765129657609,904.6687342471388,-145.1826179470632,-49.13834327050353,-651.2929989715603,-966.8397605768181,-281.71847936349957,-448.6876327542435
37,-1575.3371626111007,1134.1402104781769,-119.9844241002487,132.12202564657625,-136.87627543881618,-237.43289813824998,527.1690101591412,-375.04028921187074,-4.205941682608295,151.5516440127354,942.7634759903317,-109.95476577044548,-29.867068828635947,-707.298313721209,-996.8085857583375,-331.17981795704003,-445.7410193875249
38,-1835.4305094502386,1187.0074624493764,-241.37570479063274,149.5534846625077,-162.723701790774,-270.9756590770688,653.9810761407663,-453.59856070474365,22.174541155714124,181.26415094740096,852.8446542995105,-158.9524544832601,-63.60458824869887,-801.5731728900531,-1174.4952294945635,-304.4542002865973,-510.87513718031727
