,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
71,402.8123131563492,482.30186353417855,-1152.0282349451434,-662.7941783709064,-45.36263181599528,527.3522102406373,-638.6143250442454,1227.9616514512047,-72.76208082223489,1126.4005820732991,270.4049805860545,-942.7786967988,-402.89103841766473,-928.8028696993119,-334.86825827394483
72,468.7480542863761,624.2972320014136,-1171.6995717128061,-939.1195456533036,-71.91737652005894,658.7013243096451,-802.0045393935259,1498.551383769363,-94.23392163918132,1360.451551698796,356.9242086279978,-1155.1608299907714,-498.83298327265885,-1196.96093032885,-407.1421293200418
73,315.4311781196625,321.9031579929028,-637.0179165178852,-444.6911859227482,96.53491479043467,375.5926658505657,-411.95345718275786,793.1430960242747,-38.020189097343945,776.0363914896385,214.04924813576682,-621.9701928072309,-259.84821919024034,-629.8991475536981,-211.32558417349412
74,420.90059126211247,557.4278345435795,-1064.049933955074,-868.1049345388116,-40.58285615215301,594.1654516648952,-732.0896261238206,1370.8122670976695,-86.63952807169521,1229.2935865601987,318.10992325536785,-1054.7070720732993,-459.5707045821665,-1064.7268056440305,-371.85910848949646
75,111.56042800873529,250.56860343255303,-347.0918723354881,-222.2996289588305,138.9620146981736,159.52041263535656,-207.2905498301968,371.17597866342595,-15.88653250388794,353.0705946457337,89.50627240372522,-306.79072408421206,-129.05259007500487,-332.9211568055207,-100.40697389222976
76,358.0672054109209,484.87479119793886,-876.4130739229425,-587.6180932377357,-67.24185366338054,497.5528619770848,-596.9651284678056,1155.1827377860702,-50.034587620444874,1044.0648977526039,291.6627950521266,-798.197998832744,-356.7066045023538,-1014.557599857633,-320.24001487813734
77,301.8829006245281,337.0869996317144,-665.5953086456774,-460.91892081817673,98.66269618585154,386.3740317516967,-429.29170261782014,827.1480501977856,-39.53639085007644,841.6378331520177,222.99679834439627,-654.8061092286916,-279.611409918684,-648.6747951449399,-223.34373877423377
78,347.86892327573776,449.77596046643254,-884.4520071313514,-520.0120839434815,-38.77817210443045,476.76137908883123,-583.7525854626743,1085.4817254547988,-36.391170098690765,1003.2033879558918,259.90348093198565,-931.4264251992968,-387.8055062367535,-888.9410963637332,-299.4851024068212
79,399.4785003192925,531.2834321712537,-985.4568035872775,-652.0868157231857,-68.33613415723215,556.6108636275414,-664.1242165773936,1282.3780682836395,-78.91941934984757,1160.2039479174596,323.50311001756756,-936.577824596467,-398.40990884854386,-1117.6608751285985,-352.4707970249194
80,414.16640300139176,557.2683937058721,-1054.2565346580373,-867.4727908254462,-60.37229764697224,586.718196503739,-718.536284671499,1341.9105633678532,-81.75558011752865,1227.1407719381186,311.73006716068966,-1044.4080751403553,-428.94117042227623,-1056.2860459684591,-351.6852110295751
81,287.9673560724505,336.97105716411636,-642.2860685197447,-437.1241923387628,-5.463867150770393,340.21338404612214,-422.27153945845305,812.070009580124,-38.59277235997154,914.6776610970071,205.6829931626472,-651.9245314229623,-286.6184953536256,-602.5039853513321,-222.7992399965622
82,451.06726780871304,615.906746881504,-1130.0086258096608,-920.0540418234906,-67.31876340913692,634.2943006117582,-767.0473700439001,1444.0090356580051,-82.7532286341748,1307.4762517133809,351.20267607206273,-1123.0924533053183,-481.9583673916501,-1109.012329190751,-388.3946515341993
83,333.76957657034933,407.38338775204505,-857.7567787210164,-563.1661874227218,-61.84629806083906,469.96866579083564,-587.9413527376386,1069.6111006006395,-73.52351142303256,1002.9241027058089,238.55099628046096,-784.5835656999561,-348.5966523106337,-685.8520434151264,-295.8397409238829
84,399.47115273514936,532.6675267484688,-985.7657112762417,-648.5582219171446,-68.1478216202688,557.4085519718845,-664.3574359374277,1284.0428564973813,-79.04979949748895,1161.0909750713558,324.13201642777113,-936.7918106235671,-397.38307365448816,-1117.4299150706856,-351.8687384635506
85,270.3462341997304,341.6448153222255,-668.8885682636615,-353.3904098098623,-47.71710269662844,364.8009880752818,-462.7771902875303,846.6355717048395,-94.84473644469969,792.9045121018328,202.68386154064595,-623.3747183721271,-308.4943011548905,-682.1537568488003,-234.50237290679956
86,254.86668357062666,311.7015996613968,-637.7422885125483,-323.2974149540882,-45.70602341666652,343.6560314707889,-443.34863451492464,795.339803573272,-92.42023819827047,754.3873611658782,183.4049076425217,-588.7848306766462,-296.2334782414412,-595.0706876998584,-221.4887384523761
87,310.1686189288003,390.15030175355207,-796.9323542600674,-507.88232110728126,-59.093350874039714,435.9343104878809,-538.7086558401047,997.3098944100057,-62.184383483761415,932.5591084267007,229.18436000546873,-722.9330088646414,-319.35500413315066,-606.057546446216,-274.1629156516575
88,279.4669041584446,282.8894892222848,-681.0591308516274,-578.346457980491,-55.91464422181138,338.39829318072344,-471.6951655345471,790.3376612391729,-89.09795131701593,776.1664784918153,172.33323948770365,-650.961416699994,-374.83792392660155,-697.0504479450184,-270.3144945231814
89,439.0798557386938,567.5357318673533,-1097.9967055441468,-906.2459616577277,-65.63269494457444,607.5951169237585,-754.0628828929296,1384.9982035335465,-93.38416509894405,1267.6982307601372,323.04316102265165,-1087.7440597305178,-488.2670931492212,-1099.8543034123795,-386.206138684872
90,260.48019409705563,328.4718569464937,-650.3817607244923,-329.19055638731857,-40.78978109402696,348.96279558231987,-447.50025892696823,806.8034822768453,-84.22352810255624,761.7142982409798,188.64105911258915,-627.5681740438519,-307.15152083820755,-640.5706592773819,-224.51090898701958
91,437.97338482081915,588.1546689579419,-1135.39273870966,-898.5552052579228,-63.751047441638384,617.3419704965285,-754.6906890537146,1403.2737324231675,-85.34514470449257,1280.4599110791326,332.45714893362606,-1088.222400018553,-473.56957391884447,-1098.1700910012912,-380.58252306956365
92,326.16857983594304,425.55786593232125,-828.922290034863,-507.89885806351936,-35.72409333029583,447.5244822906087,-546.710409741444,1022.9334170040847,-26.100238589944734,942.2244019939188,244.46449162710317,-924.9046360884273,-360.65879407524375,-836.7357120241955,-283.0948481101598
93,445.5604472212236,595.5692163497333,-1110.802449965318,-899.9004692617435,-63.84804842595168,622.8856176324933,-723.558283290586,1415.3090996866413,-85.47412125291022,1286.0883306319329,334.01655355033364,-1102.951927746091,-475.9717440535995,-1104.3415551953735,-381.95398211093755
94,335.00277895414786,410.8348629076112,-860.785002707158,-568.2081661652157,-62.00609499004117,471.90464227975747,-589.1501312942936,1074.2285447818465,-72.36000773895019,1006.1779863856506,240.43590762002998,-788.057034207178,-349.08896231763833,-687.1584814443601,-296.78576539853793
95,288.26788720884605,333.1275570284552,-663.4612091196873,-461.96933682913243,96.20848550501994,387.8873568693253,-427.10679089922456,823.2857049775513,-41.56398160049135,840.1319711966169,218.20003215971659,-639.7849101806395,-273.08418178381777,-654.6423958786739,-223.25115742615347
96,380.025107757843,511.980577766021,-969.685027852557,-634.1988590955747,-66.77663474950639,532.0023724259452,-634.2511485237346,1228.113665971168,-81.01934617740568,1112.5029472696306,312.44669482037773,-869.0333963432965,-378.4030462666515,-1064.6273488508625,-337.91125548345326
97,465.0677928324809,383.8239582181045,-731.3702391618536,-499.8775026545301,-50.351694728749976,391.96571245456715,-466.6713450992283,909.0997577954131,-48.13343856905683,847.8945183908628,215.82293707071562,-680.1858248692455,-313.5927299398687,-707.966685557785,-242.5117524923841
98,333.76957657034933,407.38338775204505,-857.7567787210164,-563.1661874227218,-61.84629806083906,469.96866579083564,-587.9413527376386,1069.6111006006395,-73.52351142303256,1002.9241027058089,238.55099628046096,-784.5835656999561,-348.5966523106337,-685.8520434151264,-295.8397409238829
99,238.70657840687323,335.40082743387256,-785.8851838066084,-453.4209275004831,-33.744067693862185,339.41033104346945,-415.5010464832788,811.5317530358128,-43.0939636131247,736.9187005439331,195.66322705272717,-568.05875599845,-275.83164007657524,-598.0190636851182,-217.92002630716044
100,304.508097794368,477.62427648555615,-767.4478065615966,-571.2977598473105,-52.16079667667524,427.4488592668245,-481.9445848194713,1026.7128374494944,-29.702096014129108,886.6543117963173,273.53250870094575,-750.8180361536441,-309.2967196745363,-663.5333411927081,-255.30135627190998
101,455.7234422306666,621.9830356607495,-1141.7784214656572,-926.9819852508708,-67.90166389876978,640.7844297542367,-774.8692636679729,1458.8550931177836,-82.71979343678936,1320.9205621247504,351.38696469466686,-1136.5306777476562,-487.07679867577826,-1121.1680702268538,-392.6216753382536
