,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
28,-141.92585563963777,8.520281858934354,120.41608345197416,74.90755046219338,43.086478244473355,57.50107132269574,24.312090473672185,-65.55940363050348,-57.53491310724478,159.97688381025256,2.8424303037047527,11.728111993617109,-120.59364240987648,-200.6784101827542,67.399261189119,21.251832561153073
29,-131.91578040697195,-9.98868149131939,72.64070356921324,58.91370380769864,47.758504355346865,59.973657308870614,-33.41386957290862,-76.06860550513885,-74.77785378339593,173.56715720730656,-69.14076223629708,-63.838864430752146,-139.74230813428323,48.78792644268393,42.57030153711168,37.33900972237303
30,-244.35402830953672,-37.17983034010986,100.4829537089819,87.9177008029686,31.265699694952655,105.41230576126979,-93.11149067781247,-117.60392218861934,-149.54458029160526,189.15312631273076,-133.70608568189797,-131.71817116114957,-200.7499807868752,-288.0195662547514,84.05394323579618,72.84380536725827
31,-157.74264044488376,167.17856243767733,85.08169517047597,85.90076061477598,17.843136566575243,86.76173845117468,-26.17931290844195,-93.64070765467062,-91.53190018775551,151.16173030009318,-90.04992921361143,-84.49980301559839,-121.7327307946997,-160.15345278023898,61.847623277826976,54.86339571281999
32,-102.21458303520828,5.636708051652904,73.96585880267043,60.15088714266107,145.10884687880562,62.99723876220554,-29.136136518011593,-58.70381321030872,-56.84385170618723,99.55309899765786,-55.66420011777814,-58.24638858478345,-16.248467777376323,-100.31267153332955,157.93448784322288,50.9481129687346
33,-110.31394817354105,-2.2190131324744433,50.55066463682786,51.307944257804,228.1893023274097,52.00712734142514,-22.175240286562424,-60.1361318728966,-56.01197584646069,81.91920181351014,-52.54580691682359,-47.416223430669326,-77.32387227067318,-90.66721035054809,38.473228456473564,26.382396398513315
34,-62.60725402975371,0.5813307682730606,33.67696345345945,33.06174419415735,55.6022116269853,188.6866145050522,-11.758435509490967,-40.23248820584365,-40.737626193304486,59.78678409064125,-44.2170398032269,-32.26836560517453,-37.08677669999627,-75.57221439225025,32.94550328409267,18.542937233470447
35,75.97889760236266,12.861731283762188,70.39577726870468,110.8005874669052,15.102626871747718,54.46949054186859,-13.174978147508817,-48.804149614657014,-88.13324987893728,117.33588244610138,-50.25859022900441,-68.02502828541493,-138.2274025211008,-119.2260489325959,62.17061843468762,23.72642544894559
36,-46.0660305114684,6.131269935388439,49.91567104065531,34.47095177974539,31.258378963119704,55.53670451577873,-27.304985427620966,-58.154742873479826,116.31129547701516,93.30576998218487,-54.556585001328145,-43.04477997856009,-74.35141531897423,-120.18506615769053,26.438281189689146,52.491418944627064
37,-234.4854616704162,-34.2746979413466,112.82633074174666,98.42767535347255,54.831280878469265,113.5737859871866,-90.01563222106034,-112.99606945736072,-143.94559415103248,201.76130401544697,-132.40880042384464,-131.62729712900762,-184.25931667524338,-286.9252655194626,114.0867708980847,77.91179265759655
