,chatgpt-4o-latest / gpt-5,chatgpt-4o-latest / gpt-5.2-pro,chatgpt-4o-latest / gpt-5.1-chat-latest,chatgpt-4o-latest / gpt-5.2-chat-latest,chatgpt-4o-latest / gpt-5-mini,chatgpt-4o-latest / gpt-5-nano,gpt-5 / gpt-5.2-pro,gpt-5 / gpt-5.1-chat-latest,gpt-5 / gpt-5.2-chat-latest,gpt-5 / gpt-5-mini,gpt-5 / gpt-5-nano,gpt-5.2-pro / gpt-5.1-chat-latest,gpt-5.2-pro / gpt-5.2-chat-latest,gpt-5.2-pro / gpt-5-mini,gpt-5.2-pro / gpt-5-nano,gpt-5.1-chat-latest / gpt-5.2-chat-latest,gpt-5.1-chat-latest / gpt-5-mini,gpt-5.1-chat-latest / gpt-5-nano,gpt-5.2-chat-latest / gpt-5-mini,gpt-5.2-chat-latest / gpt-5-nano,gpt-5-mini / gpt-5-nano,min,max,1ÇÃå¬êî
1423,0.038831219,0.038831219,0.038831219,0.038831219,0.038831219,1,0.031141869,0.034986544,1.11E-16,1.11E-16,0.807766244,0.038446751,0.031141869,0.031141869,0.980776624,0.034986544,0.034986544,0.980776624,1.11E-16,0.807766244,0.807766244,1.11E-16,1,1
1424,0,0.034986544,0.000384468,0.034986544,0.000384468,0.976931949,0.034986544,0.000384468,0.034986544,0.000384468,0.976931949,0.034986544,1.11E-16,0.034986544,0.999615532,0.034986544,0,0.996155325,0.034986544,0.999615532,0.996155325,0,0.999615532,0
1425,0.038446751,0.038831219,0.038446751,0.807766244,0.038446751,0.031141869,0.000384468,0.038446751,0.807766244,0,0.034986544,0.034986544,0.807766244,0.000384468,0.038831219,0.807766244,0.038446751,0.034986544,0.807766244,0.807766244,0.034986544,0,0.807766244,0
1426,0,0.031141869,0.784698193,0.031141869,0,0.034986544,0.031141869,0.784698193,0.031141869,0,0.034986544,0.923106498,0,0.031141869,0.000384468,0.923106498,0.784698193,0.942329873,0.031141869,0.000384468,0.034986544,0,0.942329873,0
1427,0.031328062,0.000192178,0.000192178,0.034787605,0.000576572,0.031328062,0.034986544,0.031141869,0.034986544,0.034986544,0.038446751,0.000384468,0.034986544,0.000384468,0.031141869,0.038446751,0.000384468,0.034986544,0.038831219,0.000384468,0.034986544,0.000192178,0.038831219,0
1428,0.034986544,0.038446751,0.034986544,0.038446751,0.000384468,0.034986544,0.031141869,0,0.031141869,0.038446751,0,0.031141869,0,0.034986544,0.031141869,0.031141869,0.038446751,0,0.034986544,0.031141869,0.038446751,0,0.038446751,0
1429,0.000384468,0.034986544,0.803921569,0.942329873,0.034986544,1,0.034986544,0.807766244,0.942329873,0.038831219,1,0.976931949,0.784698193,0.034986544,0.807766244,0.788542868,0.961168781,0.980776624,0.961553249,0.038831219,0.980776624,0.000384468,1,2
1430,0.961553249,0.942329873,0.961553249,0.942329873,0.923106498,0.996155325,0.034986544,0,0.034986544,0.038446751,0.615532488,0.034986544,0,0.000384468,0.788542868,0.034986544,0.038446751,0.615532488,0.000384468,0.788542868,0.807766244,0,0.996155325,0
1431,0.807381776,0.807381776,0.807381776,0.807381776,0.807766244,0.961168781,1.11E-16,1.11E-16,1.11E-16,0.034986544,0.807381776,1.11E-16,1.11E-16,0.034986544,0.807381776,1.11E-16,0.034986544,0.807381776,0.034986544,0.807381776,0.615532488,1.11E-16,0.961168781,0
1432,0,0.999615532,0,0.999615532,0.038831219,0.999615532,0.999615532,0,0.999615532,0.038831219,0.999615532,0.999615532,1.11E-16,0.961553249,0.038446751,0.999615532,0.038831219,0.999615532,0.961553249,0.038446751,1,0,0.999615532,0
